iter	Passed	Remaining
712	4077	1641
713	4081	1635
714	4088	1629
715	4095	1624
716	4102	1619
717	4109	1614
718	4116	1608
719	4125	1604
720	4131	1598
721	4137	1593
722	4143	1587
723	4150	1582
724	4156	1576
725	4162	1571
726	4167	1565
727	4173	1559
728	4179	1553
729	4185	1548
730	4193	1543
731	4200	1537
732	4205	1531
733	4210	1526
734	4216	1520
735	4223	1514
736	4228	1508
737	4233	1503
738	4239	1497
739	4249	1493
740	4254	1487
741	4259	1481
742	4266	1475
743	4274	1470
744	4280	1465
745	4287	1459
746	4293	1454
747	4300	1448
748	4306	1443
749	4312	1437
750	4317	1431
751	4323	1425
752	4329	1420
753	4335	1414
754	4340	1408
755	4346	1402
756	4352	1397
757	4356	1390
758	4363	1385
759	4368	1379
760	4373	1373
761	4379	1367
762	4385	1362
763	4390	1356
764	4395	1350
765	4401	1344
766	4406	1338
767	4413	1333
768	4420	1327
769	4426	1322
770	4433	1316
771	4440	1311
772	4447	1306
773	4456	1301
774	4461	1295
775	4467	1289
776	4475	1284
777	4481	1278
778	4487	1273
779	4494	1267
780	4501	1262
781	4508	1256
782	4515	1251
783	4521	1245
784	4528	1240
785	4535	1234
786	4540	1228
787	4546	1223
788	4551	1217
789	4558	1211
790	4564	1206
791	4571	1200
792	4578	1195
793	4583	1189
794	4590	1183
795	4595	1177
796	4601	1172
797	4606	1166
798	4611	1160
799	4616	1154
800	4625	1149
801	4630	1143
802	4636	1137
803	4641	1131
804	4648	1126
805	4655	1120
806	4662	1114
807	4684	1113
808	4690	1107
809	4696	1101
810	4703	1096
811	4709	1090
812	4716	1084
813	4721	1078
814	4727	1073
815	4733	1067
816	4739	1061
817	4745	1055
818	4750	1049
819	4756	1044
820	4761	1038
821	4768	1032
822	4774	1026
823	4779	1020
824	4785	1015
825	4791	1009
826	4796	1003
827	4802	997
828	4808	991
829	4814	986
830	4820	980
831	4825	974
832	4829	968
833	4836	962
834	4843	957
835	4849	951
836	4855	945
837	4862	940
838	4868	934
839	4874	928
840	4881	922
841	4886	916
842	4893	911
843	4898	905
844	4903	899
845	4908	893
846	4914	887
847	4920	881
848	4926	876
849	4932	870
850	4937	864
851	4943	858
852	4948	852
853	4954	847
854	4961	841
855	4967	835
856	4973	829
857	4979	824
858	4986	818
859	4991	812
860	4997	806
861	5003	801
862	5009	795
863	5014	789
864	5020	783
865	5027	777
866	5033	772
867	5039	766
868	5047	760
869	5053	755
870	5059	749
871	5066	743
872	5072	737
873	5077	732
874	5084	726
875	5089	720
876	5095	714
877	5101	708
878	5106	702
879	5113	697
880	5119	691
881	5126	685
882	5132	680
883	5138	674
884	5144	668
885	5150	662
886	5155	656
887	5162	651
888	5168	645
889	5173	639
890	5179	633
891	5186	627
892	5194	622
893	5200	616
894	5206	610
895	5214	605
896	5220	599
897	5226	593
898	5235	588
899	5243	582
900	5249	576
901	5255	571
902	5262	565
903	5270	559
904	5276	553
905	5282	548
906	5289	542
907	5296	536
908	5302	530
909	5309	525
910	5314	519
911	5319	513
912	5325	507
913	5332	501
914	5337	495
915	5343	490
916	5349	484
917	5355	478
918	5361	472
919	5367	466
920	5373	460
921	5379	455
922	5385	449
923	5390	443
924	5395	437
925	5408	432
926	5415	426
927	5421	420
928	5428	414
929	5434	409
930	5442	403
931	5447	397
932	5454	391
933	5461	385
934	5467	380
935	5472	374
936	5477	368
937	5482	362
938	5487	356
939	5492	350
940	5497	344
941	5502	338
942	5507	332
943	5512	327
944	5517	321
945	5522	315
946	5528	309
947	5534	303
948	5540	297
949	5546	291
950	5552	286
951	5557	280
952	5563	274
953	5570	268
954	5576	262
955	5582	256
956	5588	251
957	5593	245
958	5600	239
959	5605	233
960	5612	227
961	5618	221
962	5626	216
963	5638	210
964	5643	204
965	5648	198
966	5655	193
967	5660	187
968	5665	181
969	5671	175
970	5678	169
971	5684	163
972	5690	157
973	5698	152
974	5704	146
975	5712	140
976	5718	134
977	5725	128
978	5731	122
979	5739	117
980	5744	111
981	5751	105
982	5758	99
983	5764	93
984	5770	87
985	5777	82
986	5782	76
987	5789	70
988	5795	64
989	5800	58
990	5808	52
991	5814	46
992	5820	41
993	5825	35
994	5831	29
995	5837	23
996	5845	17
997	5852	11
998	5859	5
999	5869	0
